Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s),name
AFGHANISTAN,0,3.033333333,10.35,5.125,47.775,30.375,4918.5615,Afghanistan
ALBANIA,2,4.075,7.76,20.8,24.16,7.7,232.8598,Albania
ALGERIA,2,2.733333333,5.942857143,12.83333333,19.57142857,7.342857143,3565.213143,Algeria
ANGOLA,1,2.4,6.933333333,2.55,42.63333333,23.6,3980.054,Angola
ARGENTINA,2,0.2,2.15,11.125,10.025,2.6,3613.65175,Argentina
ARMENIA,2,1.6,3.94,13.62,16.12,3.48,204.1452,Armenia
AUSTRALIA,3,0,0,13.875,1,0.1,1443.0745,Australia
AZERBAIJAN,2,2.575,5.433333333,9.183333333,21.81666667,8.083333333,740.5016667,Azerbaijan
BAHRAIN,3,,6.7,7.5,13.75,6.95,63.371,Bahrain
BANGLADESH,1,2.813636364,14.5375,0.9625,54.22916667,46.26666667,15837.4275,Bangladesh
BARBADOS,3,2,6.8,12.2,7.7,3.5,16.653,Barbados
BELARUS,2,0.6,2.2,9.7,4.5,1.3,445.676,Belarus
BELIZE,2,0.833333333,2.333333333,9.6,18.76666667,5.3,36.1045,Belize
BENIN,0,2.425,7.7,2.275,35.375,20.125,1476.52575,Benin
BHUTAN,1,1.4,4.525,5.1,44.25,17.8,74.79675,Bhutan
BOLIVIA (PLURINATIONAL STATE OF),1,0.7,1.9,8.6,29.72857143,7.472727273,1104.222182,Bolivia (Plurinational State Of)
BOSNIA AND HERZEGOVINA,2,2.2,4.566666667,19.8,10.93333333,2.466666667,194.1566667,Bosnia And Herzegovina
BOTSWANA,2,2.85,8.8,10.05,31.03333333,12.66666667,226.709,Botswana
BRAZIL,2,0.7,2.3,6.25,13.13333333,3.925,17071.496,Brazil
